id,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms
TtUhb0mucHEbKZ8f,5KuYuR2EGodCn83PRCkFUq,46.0,2018,0.691,0.423,6.0,0.0,0.319,82.05799999999998,225840
U1nziZv9qUZS3jOZ,6ofryJf7O4cdAHKIQMyfhf,48.0,2019,0.654,0.8270000000000001,5.0,1.0,0.433,129.982,205281
UCbm14L6ORpEMt7B,4q0CeoDsBdFYCDDj3a6Jej,45.0,2017,0.741,0.072,3.0,1.0,0.297,139.089,143080
UJj71KVEwKdqGsYr,5znrnIpadxb5MLvm3HjdOg,51.0,2019,0.723,0.863,11.0,0.0,0.773,147.059,186133
vB5ycbCh6rhxd0zZ,4Aa71RVQ2uy6CEKpSxPzMq,36.0,2006,0.2,0.0998,9.0,0.0,0.113,71.02,131800
Vdkz2WQ7xcqS7l7w,722tgOgdIbNe3BEyLnejw4,71.0,2013,0.775,0.823,1.0,1.0,0.273,130.041,188013
vGrIgQA8nbuWlVYs,6qRmb4uhIUaWE5LySgSfQS,40.0,2007,0.5820000000000001,0.391,4.0,0.0,0.529,103.181,137360
VnPE0O14G2OI5jIH,6Ahkb2k6BwLQbkQQf9yx8J,43.0,2008,0.555,0.8809999999999999,7.0,0.0,0.6629999999999999,91.883,223920
Vvleil2VGhGL4Nke,1qpdTHfmiUgYRjNSI4kr7x,29.0,2016,0.292,0.718,2.0,1.0,0.485,104.831,242240
w3Bg3iP0fgb7fvfT,5Y6nVaayzitvsD5F7nr3DV,64.0,2014,0.527,0.591,6.0,0.0,0.461,123.167,256760
w6LyHGLw5zOPUppk,07jKFoinBb4SnZX13aMJBl,40.0,2013,0.277,0.953,10.0,0.0,0.229,174.97299999999996,330013
WknFGL7B9g7s4ZeF,1FM1jjQQzMBqgSqksVU4LY,28.0,2018,0.5760000000000001,0.662,11.0,0.0,0.338,92.006,205573
wnnZ5S0ZsAaiAExc,1ODA4mZMaoBzT1TbPBW8B1,49.0,2012,0.423,0.183,9.0,1.0,0.142,122.341,233013
wr21nOj1LERwvzk6,2s4yoDIOX58Kyel5GYC5mt,32.0,2005,0.18,0.99,10.0,0.0,0.336,172.012,186227
X4OlWoSBbZA4ro6i,5wBzp92NzcwfeunyqeRODo,30.0,2000,0.478,0.325,9.0,0.0,0.271,124.669,473400
X80tzYn7MVYPX3eM,1yOYKD98EpiQKdGdZ4j7j4,31.0,2018,0.634,0.5,10.0,1.0,0.575,100.691,203236
Xkx0xgFLulIXnmnJ,6WuqJLVZcyJklg7lIozAO8,50.0,2004,0.462,0.905,0.0,0.0,0.253,122.925,302360
XzCwQF8yeSbmtH4g,3QsSFO5OExx5agW53TzFK8,6.0,2003,0.652,0.917,0.0,0.0,0.478,120.992,418907
z3nzbxeFT01WOXf8,01cGujYWGF7JchJLSgf6Ta,40.0,1990,0.257,0.989,10.0,0.0,0.385,109.267,225360
z6HI4NAVpZggGi1p,5DLPez2wUlpWgLOgeZ4a9A,32.0,2008,0.4270000000000001,0.924,2.0,1.0,0.227,102.427,260707
ZBOUo2hoZEvpshgr,5ZBZSepIdSYbPaTSZLvZBU,46.0,2001,0.4370000000000001,0.525,8.0,1.0,0.478,152.469,196682
zI9DjkxOs5x1EhJQ,26zkmF12NR0aXZiNbziIFt,9.0,2011,0.5720000000000001,0.416,0.0,0.0,0.152,108.036,231013
